OCID,CONTRACT_TITLE,CONTRACT_TYPE,PROCUREMENT_METHOD,BUYER_NAME,SUPPLIER_NAMES,CONTRACT_START_DATE,CONTRACT_END_DATE,CONTRACT_AMOUNT,CONTRACT_CURRENCY
121,Cuitaca VI (210589),Concesión,Concesión minera,Secretaría de Economía,Desarrollos Mineros Parreña S.A de C.V.,2018,2024,200,Hectáreas
122,Maria 11 (199939),Concesión,Concesión minera,Secretaría de Economía,Minera María S.A. de C.V. ,2018,2024,200,Hectáreas
123,Maria 12 (199940),Concesión,Concesión minera,Secretaría de Economía,Minera María S.A. de C.V. ,2018,2024,200,Hectáreas
124,Maria 33 (200033),Concesión,Concesión minera,Secretaría de Economía,Minera María S.A. de C.V. ,2018,2024,200,Hectáreas
125,Maria 34 (200035),Concesión,Concesión minera,Secretaría de Economía,Minera María S.A. de C.V. ,2018,2024,100,Hectáreas
126,Zircon 11 (201989),Concesión,Concesión minera,Secretaría de Economía,Minera María S.A. de C.V. ,2018,2024,305.1218,Hectáreas
127,Zircon 18 (201991),Concesión,Concesión minera,Secretaría de Economía,Minera María S.A. de C.V. ,2018,2024,207.6291,Hectáreas
128,Zircon 22 (201992),Concesión,Concesión minera,Secretaría de Economía,Minera María S.A. de C.V. ,2018,2024,190.5436,Hectáreas
129,Zircon 23 (201993),Concesión,Concesión minera,Secretaría de Economía,Minera María S.A. de C.V. ,2018,2024,219.5797,Hectáreas
130,Maria 13 (200029),Concesión,Concesión minera,Secretaría de Economía,Minera María S.A. de C.V. ,2018,2024,200,Hectáreas
131,Maria 10 (200039),Concesión,Concesión minera,Secretaría de Economía,Minera María S.A. de C.V. ,2018,2024,200,Hectáreas
132,Maria 9 (201994),Concesión,Concesión minera,Secretaría de Economía,Minera María S.A. de C.V. ,2018,2024,198,Hectáreas
133,Zircon 10 (202127),Concesión,Concesión minera,Secretaría de Economía,Minera María S.A. de C.V. ,2018,2024,363.7769,Hectáreas
134,Maria 14 (200020),Concesión,Concesión minera,Secretaría de Economía,Minera María S.A. de C.V. ,2018,2024,180,Hectáreas
135,Catalina (201037),Concesión,Concesión minera,Secretaría de Economía,Minera María S.A. de C.V. ,2018,2024,1439.2794,Hectáreas
136,El Alacran (201817),Concesión,Concesión minera,Secretaría de Economía,Minera Tlali S.A.P.I. de C.V.,2018,2024,3442.359,Hectáreas
137,Esmeralda (201910),Concesión,Concesión minera,Secretaría de Economía,Compañía Internacional Minera,2018,2024,100,Hectáreas
138,Evelin (201819),Concesión,Concesión minera,Secretaría de Economía,Compañía Internacional Minera,2018,2024,453.5308,Hectáreas
139,Maria 44 (201548),Concesión,Concesión minera,Secretaría de Economía,Minera María S.A. de C.V. ,2018,2024,317.2153,Hectáreas
140,Elenita (201939),Concesión,Concesión minera,Secretaría de Economía,Minera María S.A. de C.V. ,2018,2024,5892.4565,Hectáreas
141,Maria 32 (200037),Concesión,Concesión minera,Secretaría de Economía,Minera María S.A. de C.V. ,2018,2024,200,Hectáreas
142,Zircon 17 (202777),Concesión,Concesión minera,Secretaría de Economía,Minera María S.A. de C.V. ,2018,2024,1622.4069,Hectáreas
143,Zircon 25 (202787),Concesión,Concesión minera,Secretaría de Economía,Minera María S.A. de C.V. ,2018,2024,1087.0786,Hectáreas
144,Maria 45 (203268),Concesión,Concesión minera,Secretaría de Economía,Minera María S.A. de C.V. ,2018,2024,253.1781,Hectáreas
145,La Presa Fraccion II (225543),Concesión,Concesión minera,Secretaría de Economía,Buenavista del Cobre S.A. de C.V.,2018,2024,721.3182,Hectáreas
146,Santa Isabel (225544),Concesión,Concesión minera,Secretaría de Economía,Buenavista del Cobre S.A. de C.V.,2018,2024,250,Hectáreas
147,Cobre Rico (225545),Concesión,Concesión minera,Secretaría de Economía,Buenavista del Cobre S.A. de C.V.,2018,2024,12.1718,Hectáreas
148,La Primavera (225085),Concesión,Concesión minera,Secretaría de Economía,Buenavista del Cobre S.A. de C.V.,2018,2024,28.6628,Hectáreas
149,La Presa Fraccion I (222923),Concesión,Concesión minera,Secretaría de Economía,Buenavista del Cobre S.A. de C.V.,2018,2024,479.0763,Hectáreas
150,El Picacho I (222925),Concesión,Concesión minera,Secretaría de Economía,Adit Resources Corp.,2018,2024,2155.689,Hectáreas
151,El Caracol Fracc. I (220488),Concesión,Concesión minera,Secretaría de Economía,Buenavista del Cobre S.A. de C.V.,2018,2024,83.8811,Hectáreas
152,El Caracol Fracc. II (220489),Concesión,Concesión minera,Secretaría de Economía,Buenavista del Cobre S.A. de C.V.,2018,2024,1.561,Hectáreas
153,El Jaralito Fracc.  II (218445),Concesión,Concesión minera,Secretaría de Economía,Compañía Minera La Parreña,2018,2024,61.149,Hectáreas
154,Mina Irma (218464),Concesión,Concesión minera,Secretaría de Economía,Minera María S.A. de C.V. ,2018,2024,18.5964,Hectáreas
155,El Encino (218075),Concesión,Concesión minera,Secretaría de Economía,Minera María S.A. de C.V. ,2018,2024,7.4093,Hectáreas
156,Espiritu Santo Fraccion I (217589),Concesión,Concesión minera,Secretaría de Economía,Grupo Bareyo S.A. de C.V.,2018,2024,733.3232,Hectáreas
157,Espiritu Santo Fraccion II (217590),Concesión,Concesión minera,Secretaría de Economía,Grupo Bareyo S.A. de C.V.,2018,2024,0.877,Hectáreas
158,Jaralito (217105),Concesión,Concesión minera,Secretaría de Economía,Continental Ore Corporation,2018,2024,25,Hectáreas
159,El Pajaro (216163),Concesión,Concesión minera,Secretaría de Economía,Minera Cascabel S.A. de C.V. ,2018,2024,7.5,Hectáreas
160,Zircon 6 (215563),Concesión,Concesión minera,Secretaría de Economía,Minera María S.A. de C.V. ,2018,2024,27.1779,Hectáreas
161,Unificacion La Verde (214977),Concesión,Concesión minera,Secretaría de Economía,Minera María S.A. de C.V. ,2018,2024,5014.2093,Hectáreas
162,Unificacion Angel (186586),Concesión,Concesión minera,Secretaría de Economía,Compañía Internacional Minera,2018,2024,449.7519,Hectáreas
163,Don Eduardo (178169),Concesión,Concesión minera,Secretaría de Economía,Compañía Internacional Minera,2018,2024,218.951,Hectáreas
164,Las Chispas (156924),Concesión,Concesión minera,Secretaría de Economía,Grupo Bareyo S.A. de C.V.,2018,2024,4.47,Hectáreas
165,Kino 2 (166313),Concesión,Concesión minera,Secretaría de Economía,Minera Tlali S.A.P.I. de C.V.,2018,2024,100,Hectáreas
